---,Step#,Dialogue,Audio,IsComplete,NextStepID,HintMap
1.1,"1","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""1.1_Dialogue"", ""CASSIE: An open book, the true beginning of one?s story. Yet, to start, you may not have all the pieces of the puzzle. Peruse the scene laid before you to unveil the truth.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_1__1.Puzzle_1__1'","False","2","()"
1.2,"2","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""1.2_Dialogue"", ""CASSIE: Meticulously examine Mr. Cromwell?s sanctuary, taking caution to ensure nothing goes missed. With a keen sense of curiosity, turn your attention to the bookshelf.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_1__2.Puzzle_1__2'","False","3","()"
1.3,"3","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""1.3_Dialogue"", ""CASSIE: Peer through the apertures of the parchment found, the hidden truth shall reveal itself in due course.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_1__3.Puzzle_1__3'","False","4","()"
2.1,"4","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""2.1_Dialogue"", ""CASSIE: Oh, you?ve never seen one of these before? Don?t fret - it isn?t exactly common knowledge. This little device is a magnet, specially designed to fish out forgotten treasures that slip down a drain.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_2__1.Puzzle_2__1'","False","5","()"
2.2,"5","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""2.2_Dialogue"", ""CASSIE: With the combination bestowed upon you, one can only ponder what secrets lie in wait, eager to be uncovered. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_2__2.Puzzle_2__2'","False","6","()"
2.3,"6","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""2.3_Dialogue"", ""CASSIE: The solution rests deep within a dark, damp passage. With unwavering resolve, seek the faintest glimmer among the murk of the unknown.?"")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_2__3.Puzzle_2__3'","False","7","()"
3.1,"7","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""3.1_Dialogue"", ""CASSIE: Let the beam of your newly acquired flashlight uncover the hidden solution that lies concealed within the lockbox. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_3__1.Puzzle_3__1'","False","8","()"
3.2,"8","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""3.2_Dialogue"", ""CASSIE: Within the confines of the lockbox lies the key to your victory, an instrument destined to secure your success. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_3__2.Puzzle_3__2'","False","9","()"
3.3,"9","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""3.3_Dialogue"", ""CASSIE: Trace the lines carefully, and the solution will come to light. Follow the sequence of the path, and it shall guide you to the order you seek. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_3__3.Puzzle_3__3'","False","10","()"
4.1,"10","NSLOCTEXT(""DT_Hints [4C1396F4B233A165B4E4B2D888C2755E]"", ""4.1_Dialogue"", ""CASSIE: The markings on the board are far from coincidental. Piece together the code that lies before you. "")","/Script/Engine.SoundWave'/Game/Blueprints/Audio/Dialogue/CassieDialogue/Puzzle_4__1.Puzzle_4__1'","False","11","()"
